Id,Category,fold
7168,6,4
9876,3,0
78117,6,0
9626,1,3
29492,3,2
76947,2,2
40828,4,1
56277,2,1
7414,9,0
5468,5,4
28938,0,4
30088,6,0
42068,8,3
68207,7,1
44709,5,1
5924,8,4
41172,5,2
76338,0,0
12680,6,1
7205,7,4
104158,8,0
29479,3,4
10060,6,3
42367,9,4
78540,7,3
18689,2,0
68413,8,4
5542,5,3
39469,0,4
79039,9,4
12335,0,2
39749,1,4
78061,6,3
29498,3,0
29791,4,4
29651,4,4
56114,1,2
56270,2,4
67097,3,4
10167,6,4
89754,4,0
7417,9,0
9842,3,1
49706,4,1
12666,5,3
56458,4,2
5047,2,1
77401,4,0
7267,9,4
78191,6,0
9761,2,4
9825,3,2
53301,9,2
44687,4,2
30449,7,4
68706,9,0
68270,8,4
79077,9,1
10145,6,3
5520,5,1
29718,4,2
29042,1,3
53106,2,1
40478,3,0
29596,3,0
40489,3,3
56711,8,3
12494,1,2
40691,3,1
7418,9,3
49637,4,1
18852,4,0
5448,5,1
77319,3,1
69109,3,4
30657,9,4
68761,9,0
4599,0,1
18778,3,3
40476,3,1
40775,3,2
22915,8,2
29158,1,4
5821,8,0
29358,2,4
5402,4,0
77600,4,2
67640,5,1
4602,0,3
92518,5,4
40621,3,3
12546,2,0
28975,1,4
76908,2,2
9593,1,4
4806,1,3
49475,2,0
40240,2,0
78858,8,2
19154,8,1
92564,7,4
66551,0,4
49650,4,3
53035,0,1
56624,6,0
9708,2,2
67673,5,3
76525,1,1
77187,3,1
40593,3,1
78731,8,1
40602,3,4
49905,7,0
6800,0,2
7299,9,1
6789,0,0
78485,7,1
40658,3,4
53146,4,1
77484,4,3
42180,8,0
68724,9,3
43668,3,0
77242,3,2
76523,1,0
43845,7,3
39589,0,2
13442,0,0
71261,4,2
103817,4,3
40262,2,4
7053,4,4
10236,7,3
7033,4,3
89992,7,2
5406,4,3
12612,3,2
5329,4,3
30158,6,4
78779,8,3
7199,7,0
66879,2,4
78538,7,1
22912,8,2
49561,3,2
18933,5,1
28868,0,2
49615,3,4
41795,7,1
77636,4,0
5356,4,2
13623,9,2
5508,5,3
53115,3,0
10064,6,3
67860,6,0
39335,0,0
18683,2,0
68161,7,1
41037,4,1
68146,7,4
29793,4,0
69139,6,2
89862,5,0
43869,7,0
10381,8,3
39580,0,0
42106,8,1
78954,9,2
78605,8,2
9574,0,0
7404,9,3
39572,0,3
12400,1,4
40195,2,0
4857,1,1
10298,7,4
5758,7,1
30177,6,0
40207,2,1
49486,2,1
99354,8,3
78050,6,4
13452,1,2
18944,5,0
30691,9,0
103265,0,4
29725,4,1
40407,3,3
29722,4,2
78151,6,0
52037,2,1
30060,6,3
42409,9,2
78017,5,1
4869,1,0
56093,1,1
66804,1,0
99384,8,2
39446,0,1
39995,2,4
67868,6,3
78819,8,2
29958,5,4
56424,4,3
49459,2,3
41067,4,2
42515,9,2
67739,6,2
9590,1,3
49910,7,4
7047,4,3
29969,5,2
40376,3,1
40068,2,2
67883,6,3
76195,0,3
67121,3,0
39883,1,2
30199,6,0
67643,5,3
71282,5,4
49895,7,2
22886,7,0
99497,9,1
68432,8,0
76763,2,4
40588,3,0
5840,8,0
29518,3,4
49425,1,3
40499,3,0
40678,3,1
41984,7,1
4827,1,1
13565,6,2
77941,5,1
18796,3,0
91636,7,0
13620,8,2
78301,7,3
7293,9,3
22852,5,1
12654,5,0
9539,0,4
29456,3,3
18789,3,0
67147,3,0
5944,8,3
18727,2,0
9601,1,3
68053,7,3
30649,8,0
76258,0,4
9811,3,1
40577,3,2
76296,0,4
44610,2,1
68729,9,2
40051,2,3
43626,2,4
42273,9,4
66743,1,0
42190,8,2
4773,1,2
67207,3,4
78474,7,4
39750,1,1
67258,3,2
41621,6,0
13494,2,4
49646,4,4
41446,5,0
76524,1,2
40300,2,2
5869,8,4
22827,4,0
66838,1,1
40385,3,4
77947,5,2
53098,2,3
10474,9,2
10493,9,3
99477,9,2
89726,4,0
