epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,78.1304,0.91657,0.98412,1,0.06281,0.00023772,0.00023772,0.00023772
2,152.513,0.20267,0.99059,1,0.04173,0.000463946,0.000463946,0.000463946
3,255.502,0.19092,0.98382,1,0.05121,0.000678391,0.000678391,0.000678391
4,396.173,0.14791,0.995,1,0.02146,0.000660986,0.000660986,0.000660986
5,544.371,0.10451,0.98971,1,0.03217,0.000643314,0.000643314,0.000643314
6,692.63,0.1016,0.99324,1,0.02316,0.000625642,0.000625642,0.000625642
7,841.077,0.10001,0.99353,1,0.02478,0.000607971,0.000607971,0.000607971
8,1000.43,0.08075,0.99588,1,0.01839,0.0005903,0.0005903,0.0005903
9,1154.66,0.06849,0.99529,1,0.01978,0.000572628,0.000572628,0.000572628
10,1302.54,0.07163,0.99118,1,0.03059,0.000554956,0.000554956,0.000554956
11,1384.53,0.061,0.99559,1,0.02056,0.000537285,0.000537285,0.000537285
12,1476.46,0.06584,0.99559,1,0.01673,0.000519613,0.000519613,0.000519613
13,1569.01,0.05478,0.99676,1,0.01286,0.000501942,0.000501942,0.000501942
14,1664.23,0.04985,0.99588,1,0.01649,0.000484271,0.000484271,0.000484271
15,1772.08,0.05162,0.99676,1,0.01348,0.000466599,0.000466599,0.000466599
16,1885.02,0.05036,0.99529,1,0.01728,0.000448928,0.000448928,0.000448928
17,1997.97,0.04624,0.99618,1,0.01639,0.000431256,0.000431256,0.000431256
18,2132.3,0.04313,0.99265,1,0.02555,0.000413584,0.000413584,0.000413584
19,2279.53,0.04225,0.99676,0.99971,0.01673,0.000395913,0.000395913,0.000395913
20,2424.05,0.03487,0.99676,0.99971,0.02092,0.000378242,0.000378242,0.000378242
21,2572.24,0.03251,0.99647,0.99971,0.01619,0.00036057,0.00036057,0.00036057
22,2720.83,0.03612,0.99588,0.99971,0.01558,0.000342899,0.000342899,0.000342899
23,2869.72,0.03914,0.99647,1,0.01461,0.000325227,0.000325227,0.000325227
24,3022.25,0.03316,0.99647,1,0.01592,0.000307555,0.000307555,0.000307555
25,3171.79,0.02941,0.99765,0.99971,0.01199,0.000289884,0.000289884,0.000289884
26,3322.97,0.02725,0.99618,1,0.0167,0.000272212,0.000272212,0.000272212
27,3472.63,0.02698,0.99735,1,0.01132,0.000254541,0.000254541,0.000254541
28,3623.18,0.02683,0.99618,1,0.01609,0.000236869,0.000236869,0.000236869
29,3773.69,0.02555,0.99706,1,0.0114,0.000219198,0.000219198,0.000219198
30,3926.46,0.02117,0.99706,1,0.0112,0.000201527,0.000201527,0.000201527
